Approach,Generation,Replication,Genomic Relatedness
Phenotypic Selection,2,4,0.428690819
Phenotypic Selection,3,4,0.600965973
Phenotypic Selection,0,5,0.006234895
Phenotypic Selection,1,5,-0.037902495
Phenotypic Selection,2,5,0.333513637
Phenotypic Selection,3,5,0.399994699
Phenotypic Selection,0,6,-0.002518943
Phenotypic Selection,1,6,0.000615831
Phenotypic Selection,2,6,0.340434997
Phenotypic Selection,3,6,0.709983175
Phenotypic Selection,0,7,0.022764598
Phenotypic Selection,1,7,0.105605442
Phenotypic Selection,2,7,0.293870156
Phenotypic Selection,3,7,0.601434635
Phenotypic Selection,0,8,-0.008619305
Phenotypic Selection,1,8,0.036108376
Phenotypic Selection,2,8,0.179733434
Phenotypic Selection,3,8,0.466784168
Phenotypic Selection,0,9,0.003425237
Phenotypic Selection,1,9,0.024139028
Phenotypic Selection,2,9,0.389859821
Phenotypic Selection,3,9,0.713296088
Phenotypic Selection,0,10,-0.017845475
Phenotypic Selection,1,10,0.003172679
Phenotypic Selection,2,10,0.273390413
Phenotypic Selection,3,10,0.591537338
Phenotypic Selection,0,11,-0.017341571
Phenotypic Selection,1,11,0.108461015
Phenotypic Selection,2,11,0.075927465
Phenotypic Selection,3,11,0.515062059
Phenotypic Selection,0,12,-0.017612124
Phenotypic Selection,1,12,0.01630007
Phenotypic Selection,2,12,0.255735897
Phenotypic Selection,3,12,0.473993952
Phenotypic Selection,0,13,-0.013705347
Phenotypic Selection,1,13,0.132457305
Phenotypic Selection,2,13,0.329763507
Phenotypic Selection,3,13,0.648002957
Phenotypic Selection,0,14,0.024963916
Phenotypic Selection,1,14,0.089269829
Phenotypic Selection,2,14,0.233863448
Phenotypic Selection,3,14,0.492536638
Phenotypic Selection,0,15,-0.005679512
Phenotypic Selection,1,15,-0.059120566
Phenotypic Selection,2,15,0.171203327
Phenotypic Selection,3,15,0.442694587
Phenotypic Selection,0,16,-0.01201331
Phenotypic Selection,1,16,0.071101598
Phenotypic Selection,2,16,0.192543941
Phenotypic Selection,3,16,0.513032672
Phenotypic Selection,0,17,0.002254469
Phenotypic Selection,1,17,0.084706152
Phenotypic Selection,2,17,0.212507981
Phenotypic Selection,3,17,0.481442032
Phenotypic Selection,0,18,-0.019147762
Phenotypic Selection,1,18,0.059730481
Phenotypic Selection,2,18,0.384828431
Phenotypic Selection,3,18,0.56605042
Phenotypic Selection,0,19,0.003723227
Phenotypic Selection,1,19,0.023061622
Phenotypic Selection,2,19,0.317806315
Phenotypic Selection,3,19,0.528528479
Phenotypic Selection,0,20,-0.002109672
Phenotypic Selection,1,20,0.056706712
Phenotypic Selection,2,20,0.310807607
Phenotypic Selection,3,20,0.557612783
Phenotypic Selection,0,21,-0.001376963
Phenotypic Selection,1,21,0.079460153
Phenotypic Selection,2,21,0.274837089
Phenotypic Selection,3,21,0.524105152
Phenotypic Selection,0,22,-0.010851231
Phenotypic Selection,1,22,0.131433441
Phenotypic Selection,2,22,0.202966119
Phenotypic Selection,3,22,0.42161913
Phenotypic Selection,0,23,0.00296781
Phenotypic Selection,1,23,0.049419774
Phenotypic Selection,2,23,0.156935673
Phenotypic Selection,3,23,0.557268673
Phenotypic Selection,0,24,-0.010799491
Phenotypic Selection,1,24,0.010681553
Phenotypic Selection,2,24,0.151064538
Phenotypic Selection,3,24,0.465093251
Phenotypic Selection,0,25,0.013386856
Phenotypic Selection,1,25,0.001248683
Phenotypic Selection,2,25,0.144177413
Phenotypic Selection,3,25,0.477135496
Phenotypic Selection,0,26,-0.001136166
Phenotypic Selection,1,26,0.003772618
Phenotypic Selection,2,26,0.172890375
Phenotypic Selection,3,26,0.349800768
Phenotypic Selection,0,27,0.007050966
Phenotypic Selection,1,27,0.039095914
Phenotypic Selection,2,27,0.284220841
Phenotypic Selection,3,27,0.435736547
Phenotypic Selection,0,28,0.003482094
Phenotypic Selection,1,28,0.120486729
Phenotypic Selection,2,28,0.482119549
Phenotypic Selection,3,28,0.783854361
Phenotypic Selection,0,29,-0.003259058
Phenotypic Selection,1,29,0.258464805
Phenotypic Selection,2,29,0.429159603
Phenotypic Selection,3,29,0.744628905
Phenotypic Selection,0,30,-0.034915156
Phenotypic Selection,1,30,-0.057860273
Phenotypic Selection,2,30,0.035336336
Phenotypic Selection,3,30,0.310751189
GEBV Selection,0,1,0.075420213
GEBV Selection,1,1,0.342471138
GEBV Selection,2,1,0.707870767
GEBV Selection,3,1,1.387963715
GEBV Selection,0,2,-0.003243262
GEBV Selection,1,2,0.317527386
GEBV Selection,2,2,0.890853691
GEBV Selection,3,2,1.619005895
GEBV Selection,0,3,0.002860602
GEBV Selection,1,3,0.20795815
GEBV Selection,2,3,0.471560086
GEBV Selection,3,3,0.955466446
GEBV Selection,0,4,0.031974776
GEBV Selection,1,4,0.286321881
GEBV Selection,2,4,0.761733254
GEBV Selection,3,4,1.104413675
GEBV Selection,0,5,0.001496332
GEBV Selection,1,5,0.267328365
GEBV Selection,2,5,0.85429915
GEBV Selection,3,5,1.258008167
GEBV Selection,0,6,-0.001348447
GEBV Selection,1,6,0.326648125
GEBV Selection,2,6,0.655692357
GEBV Selection,3,6,1.095730381
GEBV Selection,0,7,0.030989435
GEBV Selection,1,7,0.111588539
GEBV Selection,2,7,0.560929198
GEBV Selection,3,7,1.067865723
GEBV Selection,0,8,-0.003013029
GEBV Selection,1,8,0.224977794
GEBV Selection,2,8,0.880731767
GEBV Selection,3,8,1.155739199
GEBV Selection,0,9,0.00131709
GEBV Selection,1,9,0.126212426
GEBV Selection,2,9,0.609614814
GEBV Selection,3,9,0.957958378
GEBV Selection,0,10,-0.005588029
GEBV Selection,1,10,0.166763169
GEBV Selection,2,10,0.335757394
GEBV Selection,3,10,0.911331186
GEBV Selection,0,11,0.017922433
GEBV Selection,1,11,0.310064931
GEBV Selection,2,11,0.736625538
GEBV Selection,3,11,1.170349601
GEBV Selection,0,12,0.01999521
GEBV Selection,1,12,0.2948156
GEBV Selection,2,12,0.643363014
GEBV Selection,3,12,1.345706369
GEBV Selection,0,13,0.005573928
GEBV Selection,1,13,0.083402176
GEBV Selection,2,13,0.701741529
GEBV Selection,3,13,0.993024443
GEBV Selection,0,14,0.022826416
GEBV Selection,1,14,0.126638385
GEBV Selection,2,14,0.987636065
GEBV Selection,3,14,1.623563242
GEBV Selection,0,15,0.005342158
GEBV Selection,1,15,0.315779608
GEBV Selection,2,15,0.656423033
GEBV Selection,3,15,0.882761598
GEBV Selection,0,16,0.013870413
GEBV Selection,1,16,0.11311903
GEBV Selection,2,16,0.641261788
GEBV Selection,3,16,1.203008853
GEBV Selection,0,17,-0.009199169
GEBV Selection,1,17,0.12101478
GEBV Selection,2,17,0.570526825
GEBV Selection,3,17,0.977536653
GEBV Selection,0,18,0.020638435
GEBV Selection,1,18,0.070489325
GEBV Selection,2,18,0.674779504
GEBV Selection,3,18,0.920210745
GEBV Selection,0,19,0.012948076
GEBV Selection,1,19,0.182130477
GEBV Selection,2,19,0.644786986
GEBV Selection,3,19,0.987433785
GEBV Selection,0,20,-0.013394226
GEBV Selection,1,20,0.278180622
GEBV Selection,2,20,1.018895277
GEBV Selection,3,20,1.306297534
GEBV Selection,0,21,-0.023937345
GEBV Selection,1,21,0.015313444
GEBV Selection,2,21,0.431982485
GEBV Selection,3,21,0.803646641
GEBV Selection,0,22,-0.001903222
GEBV Selection,1,22,0.252913269
GEBV Selection,2,22,0.800039592
GEBV Selection,3,22,1.316933208
GEBV Selection,0,23,-0.003444113
GEBV Selection,1,23,0.306614366
GEBV Selection,2,23,0.558454282
GEBV Selection,3,23,0.832499303
GEBV Selection,0,24,-0.01175394
GEBV Selection,1,24,0.196094153
GEBV Selection,2,24,0.750947789
GEBV Selection,3,24,0.966377336
GEBV Selection,0,25,0.005778653
GEBV Selection,1,25,0.309933735
GEBV Selection,2,25,0.95681304
GEBV Selection,3,25,1.285533031
GEBV Selection,0,26,0.014597722
GEBV Selection,1,26,0.172904782
GEBV Selection,2,26,0.6496846
GEBV Selection,3,26,0.87823769
GEBV Selection,0,27,0.013301893
GEBV Selection,1,27,0.283224706
GEBV Selection,2,27,0.665318589
GEBV Selection,3,27,1.372839316
GEBV Selection,0,28,0.0119534
GEBV Selection,1,28,0.150043032
GEBV Selection,2,28,0.591793553
GEBV Selection,3,28,1.038628366
GEBV Selection,0,29,-0.020096366
GEBV Selection,1,29,0.275402857
GEBV Selection,2,29,1.029919366
GEBV Selection,3,29,1.274623386
GEBV Selection,0,30,-0.013978618
GEBV Selection,1,30,0.105891131
GEBV Selection,2,30,0.708326042
GEBV Selection,3,30,1.184583973
